id,id_num,lines_added_num,lines_deleted_num,time_created,time_updated,subject_length,subject_word_count,num_change_file,num_files_type,num_directory,num_subsystem,is_a_bot,change_num,recent_change_num,review_num,recent_review_num,merged_review_num,recent_merged_review_num,merged_ratio,recent_merged_ratio
Id2120aec8738286d31d79638b46beac2f0e53780,109317,65,34,1610688588000,1610776997000,49,8,7,3,5,1,0,7,7,0,0,0,0,0,0
I8b8e61fb320d5c2b66d5ff332517759b53e68817,109378,5,1,1610743357000,1610766377000,53,7,1,1,1,1,0,8,8,0,0,0,0,0,0
I77ed935d78501d49f70e8b9769fab6be79f1db77,109358,178,0,1610729414000,1610761811000,60,8,2,2,2,1,0,2,2,0,0,0,0,0,0
Ib5cd7f1c0c45073c5d2039e8b889d3a6fd7ef70c,109417,38,1,1610759956000,1610761194000,40,6,1,1,1,1,0,25,25,0,0,0,0,0,0
Id3d0832056edcbd828dd9eadaca4ed906088dc73,109394,258,0,1610760635000,1610761134000,47,7,1,1,1,1,0,1,1,0,0,0,0,0,0
I033f1915c710589ff11fe97e9b39e45251976dfc,109233,98,12,1610569277000,1610760220000,53,7,7,5,6,1,0,1,1,0,0,0,0,0,0
I13e21c71328b7f05781e7cdeed082d6cc2b9d679,109371,18,6,1610738536000,1610757547000,45,6,5,2,4,1,0,25,25,0,0,0,0,0,0
I11f6fb011d84e96f77b93ffbd1b5904594cbc591,109345,9,4,1610732256000,1610756889000,60,8,1,1,1,1,0,8,8,0,0,0,0,0,0
Ic1fdc8ae37216089d0ba18191ff12895c1f5e84e,109367,11,10,1610736948000,1610755483000,42,6,2,2,2,1,0,3,3,0,0,0,0,0,0
I1a295ece6e618e3bb81b8842a8b9df5de1cbffac,109366,23,4,1610736948000,1610755306000,39,5,1,1,1,1,0,3,3,0,0,0,0,0,0
I5517d463de43b04bf773528a28de12123e534069,109344,8,3,1610732207000,1610755234000,65,7,2,1,2,1,0,8,8,0,0,0,0,0,0
Ibdfff89db01d75aeae74948e2ea41ce5a613b6fa,109365,17,1,1610736471000,1610753932000,36,6,1,1,1,1,0,4,4,0,0,0,0,0,0
I03602917def8248150139d788c880d93cab18bf1,109343,1,1,1610732159000,1610752175000,67,9,1,1,1,1,0,8,8,0,0,0,0,0,0
I46bb0d6d93fb69f03f464308f6fce1603aafdfd8,109393,0,114,1610748347000,1610751662000,46,9,3,2,3,1,0,2,2,0,0,0,0,0,0
I21afac5d1a42073cd67b794a19d7ce7890ed61e6,109191,7,0,1610493670000,1610747944000,37,4,3,1,1,1,0,3,3,0,0,0,0,0,0
I3d3a19e846c9922027fbe45ca0d52ae76f55835b,108679,20,1,1609802138000,1610747500000,40,5,4,2,3,1,0,1,1,0,0,0,0,0,0
I4eb7bdd648a9b9b6aee48782a0086e82cfc55107,108938,16,1,1610041803000,1610741917000,51,8,3,2,3,1,0,3,3,0,0,0,0,0,0
I39924202e5a619079847d6857e417c8ca0782156,109288,6,0,1610683670000,1610741556000,45,6,1,1,1,1,0,4,4,0,0,0,0,0,0
I67249bc8040688ee82bf12532178eb133f80b8e8,109151,2,2,1610423847000,1610739464000,32,4,1,1,1,1,0,21,21,0,0,0,0,0,0
I5c72d710508fc397f2b6f959d7680b23f8dc6f67,108947,27,2,1610061750000,1610739257000,47,6,9,3,8,1,0,1,1,0,0,0,0,0,0
Ia0315037b0edee921a6a24b23673ad04c7821388,108929,1,1,1610029908000,1610737889000,63,8,2,1,2,1,0,2,2,0,0,0,0,0,0
I69f1b06748053fdfe9164c52e889629e51f91409,109204,22,7,1610520551000,1610737507000,33,5,3,2,3,1,0,23,23,0,0,0,0,0,0
I3e2034ad89832eec61f1d6910a5ffd34c56df6a7,109203,5,4,1610520551000,1610737507000,33,5,1,1,1,1,0,23,23,0,0,0,0,0,0
I67f15b21cbaf21906b88145f3c5835cf0e1ff79d,109168,37,3,1610471425000,1610737507000,32,5,3,2,3,1,0,21,21,0,0,0,0,0,0
Id848980a4fd3a5138bc98c43e57044f7d5ce3189,109150,16,0,1610423847000,1610737507000,58,7,1,1,1,1,0,21,21,0,0,0,0,0,0
I48281cf5b76285a86f951eb057454610e266b85f,109149,27,1,1610423847000,1610737507000,51,6,3,2,3,1,0,21,21,0,0,0,0,0,0
